case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_strategist_validate-005000	strategist-validate	rate	RATE_OK	samples/wave2/산림청/2017/strategist-validate-005000.hwp	산림청	2017	hwp	1	1		
w2_strategist_validate-005001	strategist-validate	rate	RATE_OK	samples/wave2/중소벤처기업부/2017/strategist-validate-005001.hwpx	중소벤처기업부	2017	hwpx	2	2		
w2_strategist_validate-005002	strategist-validate	rate	RATE_OK	samples/wave2/과학기술정보통신부/2017/strategist-validate-005002.hwp	과학기술정보통신부	2017	hwp	1	3		
w2_strategist_validate-005003	strategist-validate	rate	RATE_OK	samples/wave2/문화체육관광부/2017/strategist-validate-005003.hwpx	문화체육관광부	2017	hwpx	3	4		
w2_strategist_validate-005004	strategist-validate	rate	RATE_IMPOSSIBLE	samples/wave2/환경부/2017/strategist-validate-005004.hwp	환경부	2017	hwp	6	5		
w2_strategist_validate-005005	strategist-validate	rate	RATE_OK	samples/wave2/해양수산부/2017/strategist-validate-005005.hwpx	해양수산부	2017	hwpx	6	6		
w2_strategist_validate-005006	strategist-validate	rate	RATE_OK	samples/wave2/서울특별시/2017/strategist-validate-005006.hwp	서울특별시	2017	hwp	7	7		
w2_strategist_validate-005007	strategist-validate	rate	RATE_OK	samples/wave2/경기도/2017/strategist-validate-005007.hwpx	경기도	2017	hwpx	8	8		
w2_strategist_validate-005008	strategist-validate	rate	RATE_OK	samples/wave2/부산광역시/2017/strategist-validate-005008.hwp	부산광역시	2017	hwp	9	9		
w2_strategist_validate-005009	strategist-validate	rate	RATE_OK	samples/wave2/제주특별자치도/2017/strategist-validate-005009.hwpx	제주특별자치도	2017	hwpx	9	10		
w2_strategist_validate-005010	strategist-validate	rate	RATE_OK	samples/wave2/법제처/2018/strategist-validate-005010.hwp	법제처	2018	hwp	5	11		
w2_strategist_validate-005011	strategist-validate	rate	RATE_IMPOSSIBLE	samples/wave2/행정안전부/2018/strategist-validate-005011.hwpx	행정안전부	2018	hwpx	13	12		
w2_strategist_validate-005012	strategist-validate	rate	RATE_OK	samples/wave2/국세청/2018/strategist-validate-005012.hwp	국세청	2018	hwp	13	13		
w2_strategist_validate-005013	strategist-validate	rate	RATE_OK	samples/wave2/대법원/2018/strategist-validate-005013.hwpx	대법원	2018	hwpx	14	14		
w2_strategist_validate-005014	strategist-validate	rate	RATE_OK	samples/wave2/특허청/2018/strategist-validate-005014.hwp	특허청	2018	hwp	15	15		
w2_strategist_validate-005015	strategist-validate	rate	RATE_OK	samples/wave2/교육부/2018/strategist-validate-005015.hwpx	교육부	2018	hwpx	16	16		
w2_strategist_validate-005016	strategist-validate	rate	RATE_OK	samples/wave2/보건복지부/2018/strategist-validate-005016.hwp	보건복지부	2018	hwp	1	17		
w2_strategist_validate-005017	strategist-validate	rate	RATE_OK	samples/wave2/국토교통부/2018/strategist-validate-005017.hwpx	국토교통부	2018	hwpx	13	18		
w2_strategist_validate-005018	strategist-validate	rate	RATE_IMPOSSIBLE	samples/wave2/고용노동부/2018/strategist-validate-005018.hwp	고용노동부	2018	hwp	20	19		
w2_strategist_validate-005019	strategist-validate	rate	RATE_OK	samples/wave2/외교부/2018/strategist-validate-005019.hwpx	외교부	2018	hwpx	20	20		
w2_strategist_validate-005020	strategist-validate	rate	RATE_OK	samples/wave2/기획재정부/2018/strategist-validate-005020.hwp	기획재정부	2018	hwp	1	1		
w2_strategist_validate-005021	strategist-validate	rate	RATE_OK	samples/wave2/공정거래위원회/2018/strategist-validate-005021.hwpx	공정거래위원회	2018	hwpx	2	2		
w2_strategist_validate-005022	strategist-validate	rate	RATE_OK	samples/wave2/금융위원회/2018/strategist-validate-005022.hwp	금융위원회	2018	hwp	3	3		
w2_strategist_validate-005023	strategist-validate	rate	RATE_OK	samples/wave2/통계청/2018/strategist-validate-005023.hwpx	통계청	2018	hwpx	3	4		
w2_strategist_validate-005024	strategist-validate	rate	RATE_OK	samples/wave2/기상청/2018/strategist-validate-005024.hwp	기상청	2018	hwp	4	5		
w2_strategist_validate-005025	strategist-validate	rate	RATE_IMPOSSIBLE	samples/wave2/관세청/2018/strategist-validate-005025.hwpx	관세청	2018	hwpx	7	6		
w2_strategist_validate-005026	strategist-validate	rate	RATE_OK	samples/wave2/검찰청/2018/strategist-validate-005026.hwp	검찰청	2018	hwp	7	7		
w2_strategist_validate-005027	strategist-validate	rate	RATE_OK	samples/wave2/경찰청/2018/strategist-validate-005027.hwpx	경찰청	2018	hwpx	8	8		
w2_strategist_validate-005028	strategist-validate	rate	RATE_OK	samples/wave2/소방청/2018/strategist-validate-005028.hwp	소방청	2018	hwp	9	9		
w2_strategist_validate-005029	strategist-validate	rate	RATE_OK	samples/wave2/병무청/2018/strategist-validate-005029.hwpx	병무청	2018	hwpx	10	10		
w2_strategist_validate-005030	strategist-validate	rate	RATE_OK	samples/wave2/산림청/2018/strategist-validate-005030.hwp	산림청	2018	hwp	3	11		
w2_strategist_validate-005031	strategist-validate	rate	RATE_OK	samples/wave2/중소벤처기업부/2018/strategist-validate-005031.hwpx	중소벤처기업부	2018	hwpx	3	12		
w2_strategist_validate-005032	strategist-validate	rate	RATE_IMPOSSIBLE	samples/wave2/과학기술정보통신부/2018/strategist-validate-005032.hwp	과학기술정보통신부	2018	hwp	14	13		
w2_strategist_validate-005033	strategist-validate	rate	RATE_OK	samples/wave2/문화체육관광부/2018/strategist-validate-005033.hwpx	문화체육관광부	2018	hwpx	14	14		
w2_strategist_validate-005034	strategist-validate	rate	RATE_OK	samples/wave2/환경부/2018/strategist-validate-005034.hwp	환경부	2018	hwp	15	15		
w2_strategist_validate-005035	strategist-validate	rate	RATE_OK	samples/wave2/해양수산부/2018/strategist-validate-005035.hwpx	해양수산부	2018	hwpx	16	16		
w2_strategist_validate-005036	strategist-validate	rate	RATE_OK	samples/wave2/서울특별시/2018/strategist-validate-005036.hwp	서울특별시	2018	hwp	17	17		
w2_strategist_validate-005037	strategist-validate	rate	RATE_OK	samples/wave2/경기도/2018/strategist-validate-005037.hwpx	경기도	2018	hwpx	15	18		
w2_strategist_validate-005038	strategist-validate	rate	RATE_OK	samples/wave2/부산광역시/2018/strategist-validate-005038.hwp	부산광역시	2018	hwp	3	19		
w2_strategist_validate-005039	strategist-validate	rate	RATE_IMPOSSIBLE	samples/wave2/제주특별자치도/2018/strategist-validate-005039.hwpx	제주특별자치도	2018	hwpx	21	20		
w2_strategist_validate-005040	strategist-validate	rate	RATE_OK	samples/wave2/법제처/2019/strategist-validate-005040.hwp	법제처	2019	hwp	1	1		
w2_strategist_validate-005041	strategist-validate	rate	RATE_OK	samples/wave2/행정안전부/2019/strategist-validate-005041.hwpx	행정안전부	2019	hwpx	2	2		
w2_strategist_validate-005042	strategist-validate	rate	RATE_OK	samples/wave2/국세청/2019/strategist-validate-005042.hwp	국세청	2019	hwp	3	3		
w2_strategist_validate-005043	strategist-validate	rate	RATE_OK	samples/wave2/대법원/2019/strategist-validate-005043.hwpx	대법원	2019	hwpx	4	4		
w2_strategist_validate-005044	strategist-validate	rate	RATE_OK	samples/wave2/특허청/2019/strategist-validate-005044.hwp	특허청	2019	hwp	4	5		
w2_strategist_validate-005045	strategist-validate	rate	RATE_OK	samples/wave2/교육부/2019/strategist-validate-005045.hwpx	교육부	2019	hwpx	5	6		
w2_strategist_validate-005046	strategist-validate	rate	RATE_IMPOSSIBLE	samples/wave2/보건복지부/2019/strategist-validate-005046.hwp	보건복지부	2019	hwp	8	7		
w2_strategist_validate-005047	strategist-validate	rate	RATE_OK	samples/wave2/국토교통부/2019/strategist-validate-005047.hwpx	국토교통부	2019	hwpx	8	8		
w2_strategist_validate-005048	strategist-validate	rate	RATE_OK	samples/wave2/고용노동부/2019/strategist-validate-005048.hwp	고용노동부	2019	hwp	9	9		
w2_strategist_validate-005049	strategist-validate	rate	RATE_OK	samples/wave2/외교부/2019/strategist-validate-005049.hwpx	외교부	2019	hwpx	10	10		
w2_strategist_validate-005050	strategist-validate	rate	RATE_OK	samples/wave2/기획재정부/2019/strategist-validate-005050.hwp	기획재정부	2019	hwp	11	11		
w2_strategist_validate-005051	strategist-validate	rate	RATE_OK	samples/wave2/공정거래위원회/2019/strategist-validate-005051.hwpx	공정거래위원회	2019	hwpx	11	12		
w2_strategist_validate-005052	strategist-validate	rate	RATE_OK	samples/wave2/금융위원회/2019/strategist-validate-005052.hwp	금융위원회	2019	hwp	8	13		
w2_strategist_validate-005053	strategist-validate	rate	RATE_IMPOSSIBLE	samples/wave2/통계청/2019/strategist-validate-005053.hwpx	통계청	2019	hwpx	15	14		
w2_strategist_validate-005054	strategist-validate	rate	RATE_OK	samples/wave2/기상청/2019/strategist-validate-005054.hwp	기상청	2019	hwp	15	15		
w2_strategist_validate-005055	strategist-validate	rate	RATE_OK	samples/wave2/관세청/2019/strategist-validate-005055.hwpx	관세청	2019	hwpx	16	16		
w2_strategist_validate-005056	strategist-validate	rate	RATE_OK	samples/wave2/검찰청/2019/strategist-validate-005056.hwp	검찰청	2019	hwp	17	17		
w2_strategist_validate-005057	strategist-validate	rate	RATE_OK	samples/wave2/경찰청/2019/strategist-validate-005057.hwpx	경찰청	2019	hwpx	18	18		
w2_strategist_validate-005058	strategist-validate	rate	RATE_OK	samples/wave2/소방청/2019/strategist-validate-005058.hwp	소방청	2019	hwp	4	19		
w2_strategist_validate-005059	strategist-validate	rate	RATE_OK	samples/wave2/병무청/2019/strategist-validate-005059.hwpx	병무청	2019	hwpx	19	20		
w2_strategist_validate-005060	strategist-validate	rate	RATE_IMPOSSIBLE	samples/wave2/산림청/2019/strategist-validate-005060.hwp	산림청	2019	hwp	2	1		
w2_strategist_validate-005061	strategist-validate	rate	RATE_OK	samples/wave2/중소벤처기업부/2019/strategist-validate-005061.hwpx	중소벤처기업부	2019	hwpx	2	2		
w2_strategist_validate-005062	strategist-validate	rate	RATE_OK	samples/wave2/과학기술정보통신부/2019/strategist-validate-005062.hwp	과학기술정보통신부	2019	hwp	3	3		
w2_strategist_validate-005063	strategist-validate	rate	RATE_OK	samples/wave2/문화체육관광부/2019/strategist-validate-005063.hwpx	문화체육관광부	2019	hwpx	4	4		
w2_strategist_validate-005064	strategist-validate	rate	RATE_OK	samples/wave2/환경부/2019/strategist-validate-005064.hwp	환경부	2019	hwp	5	5		
