case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_split_cell_into-000000	edit-split-cell-into	dims	DIM_OK	samples/wave2/법제처/2016/edit-split-cell-into-000000.hwp	법제처	2016	hwp	2	2	2	2
w2_edit_split_cell_into-000001	edit-split-cell-into	dims	DIM_OK	samples/wave2/행정안전부/2016/edit-split-cell-into-000001.hwpx	행정안전부	2016	hwpx	3	2	3	2
w2_edit_split_cell_into-000002	edit-split-cell-into	dims	DIM_OK	samples/wave2/국세청/2016/edit-split-cell-into-000002.hwp	국세청	2016	hwp	4	3	4	3
w2_edit_split_cell_into-000003	edit-split-cell-into	dims	DIM_OK	samples/wave2/대법원/2016/edit-split-cell-into-000003.hwpx	대법원	2016	hwpx	5	3	5	3
w2_edit_split_cell_into-000004	edit-split-cell-into	dims	DIM_OK	samples/wave2/특허청/2016/edit-split-cell-into-000004.hwp	특허청	2016	hwp	6	4	6	4
w2_edit_split_cell_into-000005	edit-split-cell-into	dims	DIM_DRIFT	samples/wave2/교육부/2016/edit-split-cell-into-000005.hwpx	교육부	2016	hwpx	7	4	8	4
w2_edit_split_cell_into-000006	edit-split-cell-into	dims	DIM_DRIFT	samples/wave2/보건복지부/2016/edit-split-cell-into-000006.hwp	보건복지부	2016	hwp	8	5	9	6
w2_edit_split_cell_into-000007	edit-split-cell-into	dims	DIM_OK	samples/wave2/국토교통부/2016/edit-split-cell-into-000007.hwpx	국토교통부	2016	hwpx	9	5	9	5
w2_edit_split_cell_into-000008	edit-split-cell-into	dims	DIM_OK	samples/wave2/고용노동부/2016/edit-split-cell-into-000008.hwp	고용노동부	2016	hwp	10	6	10	6
w2_edit_split_cell_into-000009	edit-split-cell-into	dims	DIM_OK	samples/wave2/외교부/2016/edit-split-cell-into-000009.hwpx	외교부	2016	hwpx	11	6	11	6
w2_edit_split_cell_into-000010	edit-split-cell-into	dims	DIM_OK	samples/wave2/기획재정부/2016/edit-split-cell-into-000010.hwp	기획재정부	2016	hwp	12	7	12	7
w2_edit_split_cell_into-000011	edit-split-cell-into	dims	DIM_OK	samples/wave2/공정거래위원회/2016/edit-split-cell-into-000011.hwpx	공정거래위원회	2016	hwpx	13	7	13	7
w2_edit_split_cell_into-000012	edit-split-cell-into	dims	DIM_DRIFT	samples/wave2/금융위원회/2016/edit-split-cell-into-000012.hwp	금융위원회	2016	hwp	2	8	3	8
w2_edit_split_cell_into-000013	edit-split-cell-into	dims	DIM_DRIFT	samples/wave2/통계청/2016/edit-split-cell-into-000013.hwpx	통계청	2016	hwpx	3	8	4	9
w2_edit_split_cell_into-000014	edit-split-cell-into	dims	DIM_OK	samples/wave2/기상청/2016/edit-split-cell-into-000014.hwp	기상청	2016	hwp	4	9	4	9
w2_edit_split_cell_into-000015	edit-split-cell-into	dims	DIM_OK	samples/wave2/관세청/2016/edit-split-cell-into-000015.hwpx	관세청	2016	hwpx	5	9	5	9
w2_edit_split_cell_into-000016	edit-split-cell-into	dims	DIM_OK	samples/wave2/검찰청/2016/edit-split-cell-into-000016.hwp	검찰청	2016	hwp	6	10	6	10
w2_edit_split_cell_into-000017	edit-split-cell-into	dims	DIM_OK	samples/wave2/경찰청/2016/edit-split-cell-into-000017.hwpx	경찰청	2016	hwpx	7	10	7	10
w2_edit_split_cell_into-000018	edit-split-cell-into	dims	DIM_OK	samples/wave2/소방청/2016/edit-split-cell-into-000018.hwp	소방청	2016	hwp	8	11	8	11
w2_edit_split_cell_into-000019	edit-split-cell-into	dims	DIM_DRIFT	samples/wave2/병무청/2016/edit-split-cell-into-000019.hwpx	병무청	2016	hwpx	9	11	10	11
w2_edit_split_cell_into-000020	edit-split-cell-into	dims	DIM_DRIFT	samples/wave2/산림청/2016/edit-split-cell-into-000020.hwp	산림청	2016	hwp	10	2	11	3
w2_edit_split_cell_into-000021	edit-split-cell-into	dims	DIM_OK	samples/wave2/중소벤처기업부/2016/edit-split-cell-into-000021.hwpx	중소벤처기업부	2016	hwpx	11	2	11	2
w2_edit_split_cell_into-000022	edit-split-cell-into	dims	DIM_OK	samples/wave2/과학기술정보통신부/2016/edit-split-cell-into-000022.hwp	과학기술정보통신부	2016	hwp	12	3	12	3
w2_edit_split_cell_into-000023	edit-split-cell-into	dims	DIM_OK	samples/wave2/문화체육관광부/2016/edit-split-cell-into-000023.hwpx	문화체육관광부	2016	hwpx	13	3	13	3
w2_edit_split_cell_into-000024	edit-split-cell-into	dims	DIM_OK	samples/wave2/환경부/2016/edit-split-cell-into-000024.hwp	환경부	2016	hwp	2	4	2	4
w2_edit_split_cell_into-000025	edit-split-cell-into	dims	DIM_OK	samples/wave2/해양수산부/2016/edit-split-cell-into-000025.hwpx	해양수산부	2016	hwpx	3	4	3	4
w2_edit_split_cell_into-000026	edit-split-cell-into	dims	DIM_DRIFT	samples/wave2/서울특별시/2016/edit-split-cell-into-000026.hwp	서울특별시	2016	hwp	4	5	5	5
w2_edit_split_cell_into-000027	edit-split-cell-into	dims	DIM_DRIFT	samples/wave2/경기도/2016/edit-split-cell-into-000027.hwpx	경기도	2016	hwpx	5	5	6	6
w2_edit_split_cell_into-000028	edit-split-cell-into	dims	DIM_OK	samples/wave2/부산광역시/2016/edit-split-cell-into-000028.hwp	부산광역시	2016	hwp	6	6	6	6
w2_edit_split_cell_into-000029	edit-split-cell-into	dims	DIM_OK	samples/wave2/제주특별자치도/2016/edit-split-cell-into-000029.hwpx	제주특별자치도	2016	hwpx	7	6	7	6
w2_edit_split_cell_into-000030	edit-split-cell-into	dims	DIM_OK	samples/wave2/법제처/2017/edit-split-cell-into-000030.hwp	법제처	2017	hwp	8	7	8	7
w2_edit_split_cell_into-000031	edit-split-cell-into	dims	DIM_OK	samples/wave2/행정안전부/2017/edit-split-cell-into-000031.hwpx	행정안전부	2017	hwpx	9	7	9	7
w2_edit_split_cell_into-000032	edit-split-cell-into	dims	DIM_OK	samples/wave2/국세청/2017/edit-split-cell-into-000032.hwp	국세청	2017	hwp	10	8	10	8
w2_edit_split_cell_into-000033	edit-split-cell-into	dims	DIM_DRIFT	samples/wave2/대법원/2017/edit-split-cell-into-000033.hwpx	대법원	2017	hwpx	11	8	12	8
w2_edit_split_cell_into-000034	edit-split-cell-into	dims	DIM_DRIFT	samples/wave2/특허청/2017/edit-split-cell-into-000034.hwp	특허청	2017	hwp	12	9	13	10
w2_edit_split_cell_into-000035	edit-split-cell-into	dims	DIM_OK	samples/wave2/교육부/2017/edit-split-cell-into-000035.hwpx	교육부	2017	hwpx	13	9	13	9
w2_edit_split_cell_into-000036	edit-split-cell-into	dims	DIM_OK	samples/wave2/보건복지부/2017/edit-split-cell-into-000036.hwp	보건복지부	2017	hwp	2	10	2	10
w2_edit_split_cell_into-000037	edit-split-cell-into	dims	DIM_OK	samples/wave2/국토교통부/2017/edit-split-cell-into-000037.hwpx	국토교통부	2017	hwpx	3	10	3	10
w2_edit_split_cell_into-000038	edit-split-cell-into	dims	DIM_OK	samples/wave2/고용노동부/2017/edit-split-cell-into-000038.hwp	고용노동부	2017	hwp	4	11	4	11
w2_edit_split_cell_into-000039	edit-split-cell-into	dims	DIM_OK	samples/wave2/외교부/2017/edit-split-cell-into-000039.hwpx	외교부	2017	hwpx	5	11	5	11
w2_edit_split_cell_into-000040	edit-split-cell-into	dims	DIM_DRIFT	samples/wave2/기획재정부/2017/edit-split-cell-into-000040.hwp	기획재정부	2017	hwp	6	2	7	2
w2_edit_split_cell_into-000041	edit-split-cell-into	dims	DIM_DRIFT	samples/wave2/공정거래위원회/2017/edit-split-cell-into-000041.hwpx	공정거래위원회	2017	hwpx	7	2	8	3
w2_edit_split_cell_into-000042	edit-split-cell-into	dims	DIM_OK	samples/wave2/금융위원회/2017/edit-split-cell-into-000042.hwp	금융위원회	2017	hwp	8	3	8	3
w2_edit_split_cell_into-000043	edit-split-cell-into	dims	DIM_OK	samples/wave2/통계청/2017/edit-split-cell-into-000043.hwpx	통계청	2017	hwpx	9	3	9	3
w2_edit_split_cell_into-000044	edit-split-cell-into	dims	DIM_OK	samples/wave2/기상청/2017/edit-split-cell-into-000044.hwp	기상청	2017	hwp	10	4	10	4
w2_edit_split_cell_into-000045	edit-split-cell-into	dims	DIM_OK	samples/wave2/관세청/2017/edit-split-cell-into-000045.hwpx	관세청	2017	hwpx	11	4	11	4
w2_edit_split_cell_into-000046	edit-split-cell-into	dims	DIM_OK	samples/wave2/검찰청/2017/edit-split-cell-into-000046.hwp	검찰청	2017	hwp	12	5	12	5
w2_edit_split_cell_into-000047	edit-split-cell-into	dims	DIM_DRIFT	samples/wave2/경찰청/2017/edit-split-cell-into-000047.hwpx	경찰청	2017	hwpx	13	5	14	5
w2_edit_split_cell_into-000048	edit-split-cell-into	dims	DIM_DRIFT	samples/wave2/소방청/2017/edit-split-cell-into-000048.hwp	소방청	2017	hwp	2	6	3	7
w2_edit_split_cell_into-000049	edit-split-cell-into	dims	DIM_OK	samples/wave2/병무청/2017/edit-split-cell-into-000049.hwpx	병무청	2017	hwpx	3	6	3	6
w2_edit_split_cell_into-000050	edit-split-cell-into	dims	DIM_OK	samples/wave2/산림청/2017/edit-split-cell-into-000050.hwp	산림청	2017	hwp	4	7	4	7
w2_edit_split_cell_into-000051	edit-split-cell-into	dims	DIM_OK	samples/wave2/중소벤처기업부/2017/edit-split-cell-into-000051.hwpx	중소벤처기업부	2017	hwpx	5	7	5	7
w2_edit_split_cell_into-000052	edit-split-cell-into	dims	DIM_OK	samples/wave2/과학기술정보통신부/2017/edit-split-cell-into-000052.hwp	과학기술정보통신부	2017	hwp	6	8	6	8
w2_edit_split_cell_into-000053	edit-split-cell-into	dims	DIM_OK	samples/wave2/문화체육관광부/2017/edit-split-cell-into-000053.hwpx	문화체육관광부	2017	hwpx	7	8	7	8
w2_edit_split_cell_into-000054	edit-split-cell-into	dims	DIM_DRIFT	samples/wave2/환경부/2017/edit-split-cell-into-000054.hwp	환경부	2017	hwp	8	9	9	9
w2_edit_split_cell_into-000055	edit-split-cell-into	dims	DIM_DRIFT	samples/wave2/해양수산부/2017/edit-split-cell-into-000055.hwpx	해양수산부	2017	hwpx	9	9	10	10
w2_edit_split_cell_into-000056	edit-split-cell-into	dims	DIM_OK	samples/wave2/서울특별시/2017/edit-split-cell-into-000056.hwp	서울특별시	2017	hwp	10	10	10	10
w2_edit_split_cell_into-000057	edit-split-cell-into	dims	DIM_OK	samples/wave2/경기도/2017/edit-split-cell-into-000057.hwpx	경기도	2017	hwpx	11	10	11	10
w2_edit_split_cell_into-000058	edit-split-cell-into	dims	DIM_OK	samples/wave2/부산광역시/2017/edit-split-cell-into-000058.hwp	부산광역시	2017	hwp	12	11	12	11
w2_edit_split_cell_into-000059	edit-split-cell-into	dims	DIM_OK	samples/wave2/제주특별자치도/2017/edit-split-cell-into-000059.hwpx	제주특별자치도	2017	hwpx	13	11	13	11
w2_edit_split_cell_into-000060	edit-split-cell-into	dims	DIM_OK	samples/wave2/법제처/2018/edit-split-cell-into-000060.hwp	법제처	2018	hwp	2	2	2	2
w2_edit_split_cell_into-000061	edit-split-cell-into	dims	DIM_DRIFT	samples/wave2/행정안전부/2018/edit-split-cell-into-000061.hwpx	행정안전부	2018	hwpx	3	2	4	2
w2_edit_split_cell_into-000062	edit-split-cell-into	dims	DIM_DRIFT	samples/wave2/국세청/2018/edit-split-cell-into-000062.hwp	국세청	2018	hwp	4	3	5	4
w2_edit_split_cell_into-000063	edit-split-cell-into	dims	DIM_OK	samples/wave2/대법원/2018/edit-split-cell-into-000063.hwpx	대법원	2018	hwpx	5	3	5	3
w2_edit_split_cell_into-000064	edit-split-cell-into	dims	DIM_OK	samples/wave2/특허청/2018/edit-split-cell-into-000064.hwp	특허청	2018	hwp	6	4	6	4
w2_edit_split_cell_into-000065	edit-split-cell-into	dims	DIM_OK	samples/wave2/교육부/2018/edit-split-cell-into-000065.hwpx	교육부	2018	hwpx	7	4	7	4
w2_edit_split_cell_into-000066	edit-split-cell-into	dims	DIM_OK	samples/wave2/보건복지부/2018/edit-split-cell-into-000066.hwp	보건복지부	2018	hwp	8	5	8	5
w2_edit_split_cell_into-000067	edit-split-cell-into	dims	DIM_OK	samples/wave2/국토교통부/2018/edit-split-cell-into-000067.hwpx	국토교통부	2018	hwpx	9	5	9	5
w2_edit_split_cell_into-000068	edit-split-cell-into	dims	DIM_DRIFT	samples/wave2/고용노동부/2018/edit-split-cell-into-000068.hwp	고용노동부	2018	hwp	10	6	11	6
w2_edit_split_cell_into-000069	edit-split-cell-into	dims	DIM_DRIFT	samples/wave2/외교부/2018/edit-split-cell-into-000069.hwpx	외교부	2018	hwpx	11	6	12	7
w2_edit_split_cell_into-000070	edit-split-cell-into	dims	DIM_OK	samples/wave2/기획재정부/2018/edit-split-cell-into-000070.hwp	기획재정부	2018	hwp	12	7	12	7
w2_edit_split_cell_into-000071	edit-split-cell-into	dims	DIM_OK	samples/wave2/공정거래위원회/2018/edit-split-cell-into-000071.hwpx	공정거래위원회	2018	hwpx	13	7	13	7
w2_edit_split_cell_into-000072	edit-split-cell-into	dims	DIM_OK	samples/wave2/금융위원회/2018/edit-split-cell-into-000072.hwp	금융위원회	2018	hwp	2	8	2	8
w2_edit_split_cell_into-000073	edit-split-cell-into	dims	DIM_OK	samples/wave2/통계청/2018/edit-split-cell-into-000073.hwpx	통계청	2018	hwpx	3	8	3	8
w2_edit_split_cell_into-000074	edit-split-cell-into	dims	DIM_OK	samples/wave2/기상청/2018/edit-split-cell-into-000074.hwp	기상청	2018	hwp	4	9	4	9
w2_edit_split_cell_into-000075	edit-split-cell-into	dims	DIM_DRIFT	samples/wave2/관세청/2018/edit-split-cell-into-000075.hwpx	관세청	2018	hwpx	5	9	6	9
w2_edit_split_cell_into-000076	edit-split-cell-into	dims	DIM_DRIFT	samples/wave2/검찰청/2018/edit-split-cell-into-000076.hwp	검찰청	2018	hwp	6	10	7	11
w2_edit_split_cell_into-000077	edit-split-cell-into	dims	DIM_OK	samples/wave2/경찰청/2018/edit-split-cell-into-000077.hwpx	경찰청	2018	hwpx	7	10	7	10
w2_edit_split_cell_into-000078	edit-split-cell-into	dims	DIM_OK	samples/wave2/소방청/2018/edit-split-cell-into-000078.hwp	소방청	2018	hwp	8	11	8	11
w2_edit_split_cell_into-000079	edit-split-cell-into	dims	DIM_OK	samples/wave2/병무청/2018/edit-split-cell-into-000079.hwpx	병무청	2018	hwpx	9	11	9	11
w2_edit_split_cell_into-000080	edit-split-cell-into	dims	DIM_OK	samples/wave2/산림청/2018/edit-split-cell-into-000080.hwp	산림청	2018	hwp	10	2	10	2
w2_edit_split_cell_into-000081	edit-split-cell-into	dims	DIM_OK	samples/wave2/중소벤처기업부/2018/edit-split-cell-into-000081.hwpx	중소벤처기업부	2018	hwpx	11	2	11	2
w2_edit_split_cell_into-000082	edit-split-cell-into	dims	DIM_DRIFT	samples/wave2/과학기술정보통신부/2018/edit-split-cell-into-000082.hwp	과학기술정보통신부	2018	hwp	12	3	13	3
