case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_recipe_receive-005000	recipe-receive	signal	CLEAN	samples/wave2/산림청/2017/recipe-receive-005000.hwp	산림청	2017	hwp	0	0		
w2_recipe_receive-005001	recipe-receive	signal	ANOMALY	samples/wave2/중소벤처기업부/2017/recipe-receive-005001.hwpx	중소벤처기업부	2017	hwpx	7	1		
w2_recipe_receive-005002	recipe-receive	signal	ANOMALY	samples/wave2/과학기술정보통신부/2017/recipe-receive-005002.hwp	과학기술정보통신부	2017	hwp	8	1		
w2_recipe_receive-005003	recipe-receive	signal	ANOMALY	samples/wave2/문화체육관광부/2017/recipe-receive-005003.hwpx	문화체육관광부	2017	hwpx	9	1		
w2_recipe_receive-005004	recipe-receive	signal	SIGNAL_LIE	samples/wave2/환경부/2017/recipe-receive-005004.hwp	환경부	2017	hwp	1	0		
w2_recipe_receive-005005	recipe-receive	signal	CLEAN	samples/wave2/해양수산부/2017/recipe-receive-005005.hwpx	해양수산부	2017	hwpx	0	0		
w2_recipe_receive-005006	recipe-receive	signal	CLEAN	samples/wave2/서울특별시/2017/recipe-receive-005006.hwp	서울특별시	2017	hwp	0	0		
w2_recipe_receive-005007	recipe-receive	signal	CLEAN	samples/wave2/경기도/2017/recipe-receive-005007.hwpx	경기도	2017	hwpx	0	0		
w2_recipe_receive-005008	recipe-receive	signal	ANOMALY	samples/wave2/부산광역시/2017/recipe-receive-005008.hwp	부산광역시	2017	hwp	5	1		
w2_recipe_receive-005009	recipe-receive	signal	ANOMALY	samples/wave2/제주특별자치도/2017/recipe-receive-005009.hwpx	제주특별자치도	2017	hwpx	6	1		
w2_recipe_receive-005010	recipe-receive	signal	ANOMALY	samples/wave2/법제처/2018/recipe-receive-005010.hwp	법제처	2018	hwp	7	1		
w2_recipe_receive-005011	recipe-receive	signal	SIGNAL_LIE	samples/wave2/행정안전부/2018/recipe-receive-005011.hwpx	행정안전부	2018	hwpx	8	0		
w2_recipe_receive-005012	recipe-receive	signal	CLEAN	samples/wave2/국세청/2018/recipe-receive-005012.hwp	국세청	2018	hwp	0	0		
w2_recipe_receive-005013	recipe-receive	signal	CLEAN	samples/wave2/대법원/2018/recipe-receive-005013.hwpx	대법원	2018	hwpx	0	0		
w2_recipe_receive-005014	recipe-receive	signal	CLEAN	samples/wave2/특허청/2018/recipe-receive-005014.hwp	특허청	2018	hwp	0	0		
w2_recipe_receive-005015	recipe-receive	signal	ANOMALY	samples/wave2/교육부/2018/recipe-receive-005015.hwpx	교육부	2018	hwpx	3	1		
w2_recipe_receive-005016	recipe-receive	signal	ANOMALY	samples/wave2/보건복지부/2018/recipe-receive-005016.hwp	보건복지부	2018	hwp	4	1		
w2_recipe_receive-005017	recipe-receive	signal	ANOMALY	samples/wave2/국토교통부/2018/recipe-receive-005017.hwpx	국토교통부	2018	hwpx	5	1		
w2_recipe_receive-005018	recipe-receive	signal	SIGNAL_LIE	samples/wave2/고용노동부/2018/recipe-receive-005018.hwp	고용노동부	2018	hwp	6	0		
w2_recipe_receive-005019	recipe-receive	signal	CLEAN	samples/wave2/외교부/2018/recipe-receive-005019.hwpx	외교부	2018	hwpx	0	0		
w2_recipe_receive-005020	recipe-receive	signal	CLEAN	samples/wave2/기획재정부/2018/recipe-receive-005020.hwp	기획재정부	2018	hwp	0	0		
w2_recipe_receive-005021	recipe-receive	signal	CLEAN	samples/wave2/공정거래위원회/2018/recipe-receive-005021.hwpx	공정거래위원회	2018	hwpx	0	0		
w2_recipe_receive-005022	recipe-receive	signal	ANOMALY	samples/wave2/금융위원회/2018/recipe-receive-005022.hwp	금융위원회	2018	hwp	1	1		
w2_recipe_receive-005023	recipe-receive	signal	ANOMALY	samples/wave2/통계청/2018/recipe-receive-005023.hwpx	통계청	2018	hwpx	2	1		
w2_recipe_receive-005024	recipe-receive	signal	ANOMALY	samples/wave2/기상청/2018/recipe-receive-005024.hwp	기상청	2018	hwp	3	1		
w2_recipe_receive-005025	recipe-receive	signal	SIGNAL_LIE	samples/wave2/관세청/2018/recipe-receive-005025.hwpx	관세청	2018	hwpx	4	0		
w2_recipe_receive-005026	recipe-receive	signal	CLEAN	samples/wave2/검찰청/2018/recipe-receive-005026.hwp	검찰청	2018	hwp	0	0		
w2_recipe_receive-005027	recipe-receive	signal	CLEAN	samples/wave2/경찰청/2018/recipe-receive-005027.hwpx	경찰청	2018	hwpx	0	0		
w2_recipe_receive-005028	recipe-receive	signal	CLEAN	samples/wave2/소방청/2018/recipe-receive-005028.hwp	소방청	2018	hwp	0	0		
w2_recipe_receive-005029	recipe-receive	signal	ANOMALY	samples/wave2/병무청/2018/recipe-receive-005029.hwpx	병무청	2018	hwpx	8	1		
w2_recipe_receive-005030	recipe-receive	signal	ANOMALY	samples/wave2/산림청/2018/recipe-receive-005030.hwp	산림청	2018	hwp	9	1		
w2_recipe_receive-005031	recipe-receive	signal	ANOMALY	samples/wave2/중소벤처기업부/2018/recipe-receive-005031.hwpx	중소벤처기업부	2018	hwpx	1	1		
w2_recipe_receive-005032	recipe-receive	signal	SIGNAL_LIE	samples/wave2/과학기술정보통신부/2018/recipe-receive-005032.hwp	과학기술정보통신부	2018	hwp	2	0		
w2_recipe_receive-005033	recipe-receive	signal	CLEAN	samples/wave2/문화체육관광부/2018/recipe-receive-005033.hwpx	문화체육관광부	2018	hwpx	0	0		
w2_recipe_receive-005034	recipe-receive	signal	CLEAN	samples/wave2/환경부/2018/recipe-receive-005034.hwp	환경부	2018	hwp	0	0		
w2_recipe_receive-005035	recipe-receive	signal	CLEAN	samples/wave2/해양수산부/2018/recipe-receive-005035.hwpx	해양수산부	2018	hwpx	0	0		
w2_recipe_receive-005036	recipe-receive	signal	ANOMALY	samples/wave2/서울특별시/2018/recipe-receive-005036.hwp	서울특별시	2018	hwp	6	1		
w2_recipe_receive-005037	recipe-receive	signal	ANOMALY	samples/wave2/경기도/2018/recipe-receive-005037.hwpx	경기도	2018	hwpx	7	1		
w2_recipe_receive-005038	recipe-receive	signal	ANOMALY	samples/wave2/부산광역시/2018/recipe-receive-005038.hwp	부산광역시	2018	hwp	8	1		
w2_recipe_receive-005039	recipe-receive	signal	SIGNAL_LIE	samples/wave2/제주특별자치도/2018/recipe-receive-005039.hwpx	제주특별자치도	2018	hwpx	9	0		
w2_recipe_receive-005040	recipe-receive	signal	CLEAN	samples/wave2/법제처/2019/recipe-receive-005040.hwp	법제처	2019	hwp	0	0		
w2_recipe_receive-005041	recipe-receive	signal	CLEAN	samples/wave2/행정안전부/2019/recipe-receive-005041.hwpx	행정안전부	2019	hwpx	0	0		
w2_recipe_receive-005042	recipe-receive	signal	CLEAN	samples/wave2/국세청/2019/recipe-receive-005042.hwp	국세청	2019	hwp	0	0		
w2_recipe_receive-005043	recipe-receive	signal	ANOMALY	samples/wave2/대법원/2019/recipe-receive-005043.hwpx	대법원	2019	hwpx	4	1		
w2_recipe_receive-005044	recipe-receive	signal	ANOMALY	samples/wave2/특허청/2019/recipe-receive-005044.hwp	특허청	2019	hwp	5	1		
w2_recipe_receive-005045	recipe-receive	signal	ANOMALY	samples/wave2/교육부/2019/recipe-receive-005045.hwpx	교육부	2019	hwpx	6	1		
w2_recipe_receive-005046	recipe-receive	signal	SIGNAL_LIE	samples/wave2/보건복지부/2019/recipe-receive-005046.hwp	보건복지부	2019	hwp	7	0		
w2_recipe_receive-005047	recipe-receive	signal	CLEAN	samples/wave2/국토교통부/2019/recipe-receive-005047.hwpx	국토교통부	2019	hwpx	0	0		
w2_recipe_receive-005048	recipe-receive	signal	CLEAN	samples/wave2/고용노동부/2019/recipe-receive-005048.hwp	고용노동부	2019	hwp	0	0		
w2_recipe_receive-005049	recipe-receive	signal	CLEAN	samples/wave2/외교부/2019/recipe-receive-005049.hwpx	외교부	2019	hwpx	0	0		
w2_recipe_receive-005050	recipe-receive	signal	ANOMALY	samples/wave2/기획재정부/2019/recipe-receive-005050.hwp	기획재정부	2019	hwp	2	1		
w2_recipe_receive-005051	recipe-receive	signal	ANOMALY	samples/wave2/공정거래위원회/2019/recipe-receive-005051.hwpx	공정거래위원회	2019	hwpx	3	1		
w2_recipe_receive-005052	recipe-receive	signal	ANOMALY	samples/wave2/금융위원회/2019/recipe-receive-005052.hwp	금융위원회	2019	hwp	4	1		
w2_recipe_receive-005053	recipe-receive	signal	SIGNAL_LIE	samples/wave2/통계청/2019/recipe-receive-005053.hwpx	통계청	2019	hwpx	5	0		
w2_recipe_receive-005054	recipe-receive	signal	CLEAN	samples/wave2/기상청/2019/recipe-receive-005054.hwp	기상청	2019	hwp	0	0		
w2_recipe_receive-005055	recipe-receive	signal	CLEAN	samples/wave2/관세청/2019/recipe-receive-005055.hwpx	관세청	2019	hwpx	0	0		
w2_recipe_receive-005056	recipe-receive	signal	CLEAN	samples/wave2/검찰청/2019/recipe-receive-005056.hwp	검찰청	2019	hwp	0	0		
w2_recipe_receive-005057	recipe-receive	signal	ANOMALY	samples/wave2/경찰청/2019/recipe-receive-005057.hwpx	경찰청	2019	hwpx	9	1		
w2_recipe_receive-005058	recipe-receive	signal	ANOMALY	samples/wave2/소방청/2019/recipe-receive-005058.hwp	소방청	2019	hwp	1	1		
w2_recipe_receive-005059	recipe-receive	signal	ANOMALY	samples/wave2/병무청/2019/recipe-receive-005059.hwpx	병무청	2019	hwpx	2	1		
w2_recipe_receive-005060	recipe-receive	signal	SIGNAL_LIE	samples/wave2/산림청/2019/recipe-receive-005060.hwp	산림청	2019	hwp	3	0		
w2_recipe_receive-005061	recipe-receive	signal	CLEAN	samples/wave2/중소벤처기업부/2019/recipe-receive-005061.hwpx	중소벤처기업부	2019	hwpx	0	0		
w2_recipe_receive-005062	recipe-receive	signal	CLEAN	samples/wave2/과학기술정보통신부/2019/recipe-receive-005062.hwp	과학기술정보통신부	2019	hwp	0	0		
w2_recipe_receive-005063	recipe-receive	signal	CLEAN	samples/wave2/문화체육관광부/2019/recipe-receive-005063.hwpx	문화체육관광부	2019	hwpx	0	0		
w2_recipe_receive-005064	recipe-receive	signal	ANOMALY	samples/wave2/환경부/2019/recipe-receive-005064.hwp	환경부	2019	hwp	7	1		
w2_recipe_receive-005065	recipe-receive	signal	ANOMALY	samples/wave2/해양수산부/2019/recipe-receive-005065.hwpx	해양수산부	2019	hwpx	8	1		
w2_recipe_receive-005066	recipe-receive	signal	ANOMALY	samples/wave2/서울특별시/2019/recipe-receive-005066.hwp	서울특별시	2019	hwp	9	1		
w2_recipe_receive-005067	recipe-receive	signal	SIGNAL_LIE	samples/wave2/경기도/2019/recipe-receive-005067.hwpx	경기도	2019	hwpx	1	0		
w2_recipe_receive-005068	recipe-receive	signal	CLEAN	samples/wave2/부산광역시/2019/recipe-receive-005068.hwp	부산광역시	2019	hwp	0	0		
w2_recipe_receive-005069	recipe-receive	signal	CLEAN	samples/wave2/제주특별자치도/2019/recipe-receive-005069.hwpx	제주특별자치도	2019	hwpx	0	0		
w2_recipe_receive-005070	recipe-receive	signal	CLEAN	samples/wave2/법제처/2020/recipe-receive-005070.hwp	법제처	2020	hwp	0	0		
w2_recipe_receive-005071	recipe-receive	signal	ANOMALY	samples/wave2/행정안전부/2020/recipe-receive-005071.hwpx	행정안전부	2020	hwpx	5	1		
w2_recipe_receive-005072	recipe-receive	signal	ANOMALY	samples/wave2/국세청/2020/recipe-receive-005072.hwp	국세청	2020	hwp	6	1		
w2_recipe_receive-005073	recipe-receive	signal	ANOMALY	samples/wave2/대법원/2020/recipe-receive-005073.hwpx	대법원	2020	hwpx	7	1		
w2_recipe_receive-005074	recipe-receive	signal	SIGNAL_LIE	samples/wave2/특허청/2020/recipe-receive-005074.hwp	특허청	2020	hwp	8	0		
w2_recipe_receive-005075	recipe-receive	signal	CLEAN	samples/wave2/교육부/2020/recipe-receive-005075.hwpx	교육부	2020	hwpx	0	0		
w2_recipe_receive-005076	recipe-receive	signal	CLEAN	samples/wave2/보건복지부/2020/recipe-receive-005076.hwp	보건복지부	2020	hwp	0	0		
w2_recipe_receive-005077	recipe-receive	signal	CLEAN	samples/wave2/국토교통부/2020/recipe-receive-005077.hwpx	국토교통부	2020	hwpx	0	0		
w2_recipe_receive-005078	recipe-receive	signal	ANOMALY	samples/wave2/고용노동부/2020/recipe-receive-005078.hwp	고용노동부	2020	hwp	3	1		
w2_recipe_receive-005079	recipe-receive	signal	ANOMALY	samples/wave2/외교부/2020/recipe-receive-005079.hwpx	외교부	2020	hwpx	4	1		
w2_recipe_receive-005080	recipe-receive	signal	ANOMALY	samples/wave2/기획재정부/2020/recipe-receive-005080.hwp	기획재정부	2020	hwp	5	1		
w2_recipe_receive-005081	recipe-receive	signal	SIGNAL_LIE	samples/wave2/공정거래위원회/2020/recipe-receive-005081.hwpx	공정거래위원회	2020	hwpx	6	0		
w2_recipe_receive-005082	recipe-receive	signal	CLEAN	samples/wave2/금융위원회/2020/recipe-receive-005082.hwp	금융위원회	2020	hwp	0	0		
w2_recipe_receive-005083	recipe-receive	signal	CLEAN	samples/wave2/통계청/2020/recipe-receive-005083.hwpx	통계청	2020	hwpx	0	0		
w2_recipe_receive-005084	recipe-receive	signal	CLEAN	samples/wave2/기상청/2020/recipe-receive-005084.hwp	기상청	2020	hwp	0	0		
w2_recipe_receive-005085	recipe-receive	signal	ANOMALY	samples/wave2/관세청/2020/recipe-receive-005085.hwpx	관세청	2020	hwpx	1	1		
w2_recipe_receive-005086	recipe-receive	signal	ANOMALY	samples/wave2/검찰청/2020/recipe-receive-005086.hwp	검찰청	2020	hwp	2	1		
w2_recipe_receive-005087	recipe-receive	signal	ANOMALY	samples/wave2/경찰청/2020/recipe-receive-005087.hwpx	경찰청	2020	hwpx	3	1		
w2_recipe_receive-005088	recipe-receive	signal	SIGNAL_LIE	samples/wave2/소방청/2020/recipe-receive-005088.hwp	소방청	2020	hwp	4	0		
w2_recipe_receive-005089	recipe-receive	signal	CLEAN	samples/wave2/병무청/2020/recipe-receive-005089.hwpx	병무청	2020	hwpx	0	0		
w2_recipe_receive-005090	recipe-receive	signal	CLEAN	samples/wave2/산림청/2020/recipe-receive-005090.hwp	산림청	2020	hwp	0	0		
w2_recipe_receive-005091	recipe-receive	signal	CLEAN	samples/wave2/중소벤처기업부/2020/recipe-receive-005091.hwpx	중소벤처기업부	2020	hwpx	0	0		
w2_recipe_receive-005092	recipe-receive	signal	ANOMALY	samples/wave2/과학기술정보통신부/2020/recipe-receive-005092.hwp	과학기술정보통신부	2020	hwp	8	1		
w2_recipe_receive-005093	recipe-receive	signal	ANOMALY	samples/wave2/문화체육관광부/2020/recipe-receive-005093.hwpx	문화체육관광부	2020	hwpx	9	1		
