case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_split_paragraph_in_cell-005000	edit-split-paragraph-in-cell	coord	COORD_OK	samples/wave2/산림청/2017/edit-split-paragraph-in-cell-005000.hwp	산림청	2017	hwp	0	4	2	6
w2_edit_split_paragraph_in_cell-005001	edit-split-paragraph-in-cell	coord	COORD_OK	samples/wave2/중소벤처기업부/2017/edit-split-paragraph-in-cell-005001.hwpx	중소벤처기업부	2017	hwpx	0	5	3	6
w2_edit_split_paragraph_in_cell-005002	edit-split-paragraph-in-cell	coord	COORD_OK	samples/wave2/과학기술정보통신부/2017/edit-split-paragraph-in-cell-005002.hwp	과학기술정보통신부	2017	hwp	2	1	4	7
w2_edit_split_paragraph_in_cell-005003	edit-split-paragraph-in-cell	coord	COORD_OOB	samples/wave2/문화체육관광부/2017/edit-split-paragraph-in-cell-005003.hwpx	문화체육관광부	2017	hwpx	6	1	5	7
w2_edit_split_paragraph_in_cell-005004	edit-split-paragraph-in-cell	coord	COORD_OOB	samples/wave2/환경부/2017/edit-split-paragraph-in-cell-005004.hwp	환경부	2017	hwp	6	9	6	8
w2_edit_split_paragraph_in_cell-005005	edit-split-paragraph-in-cell	coord	COORD_OK	samples/wave2/해양수산부/2017/edit-split-paragraph-in-cell-005005.hwpx	해양수산부	2017	hwpx	0	4	7	8
w2_edit_split_paragraph_in_cell-005006	edit-split-paragraph-in-cell	coord	COORD_OK	samples/wave2/서울특별시/2017/edit-split-paragraph-in-cell-005006.hwp	서울특별시	2017	hwp	6	3	8	9
w2_edit_split_paragraph_in_cell-005007	edit-split-paragraph-in-cell	coord	COORD_OK	samples/wave2/경기도/2017/edit-split-paragraph-in-cell-005007.hwpx	경기도	2017	hwpx	3	4	9	9
w2_edit_split_paragraph_in_cell-005008	edit-split-paragraph-in-cell	coord	COORD_OK	samples/wave2/부산광역시/2017/edit-split-paragraph-in-cell-005008.hwp	부산광역시	2017	hwp	8	1	10	2
w2_edit_split_paragraph_in_cell-005009	edit-split-paragraph-in-cell	coord	COORD_OK	samples/wave2/제주특별자치도/2017/edit-split-paragraph-in-cell-005009.hwpx	제주특별자치도	2017	hwpx	4	1	11	2
