case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_agent_surface_stateless-005000	agent-surface-stateless	layer	ENV_OK	samples/wave2/산림청/2017/agent-surface-stateless-005000.hwp	산림청	2017	hwp	0	0	0	
w2_agent_surface_stateless-005001	agent-surface-stateless	layer	ENV_JUDGE	samples/wave2/중소벤처기업부/2017/agent-surface-stateless-005001.hwpx	중소벤처기업부	2017	hwpx	0	0	1	
w2_agent_surface_stateless-005002	agent-surface-stateless	layer	ENV_JUDGE	samples/wave2/과학기술정보통신부/2017/agent-surface-stateless-005002.hwp	과학기술정보통신부	2017	hwp	0	0	2	
w2_agent_surface_stateless-005003	agent-surface-stateless	layer	ENV_JUDGE	samples/wave2/문화체육관광부/2017/agent-surface-stateless-005003.hwpx	문화체육관광부	2017	hwpx	0	0	3	
w2_agent_surface_stateless-005004	agent-surface-stateless	layer	ENV_UNKNOWN	samples/wave2/환경부/2017/agent-surface-stateless-005004.hwp	환경부	2017	hwp	0	0	9	
w2_agent_surface_stateless-005005	agent-surface-stateless	layer	RPC_FAIL	samples/wave2/해양수산부/2017/agent-surface-stateless-005005.hwpx	해양수산부	2017	hwpx	1	0	0	
w2_agent_surface_stateless-005006	agent-surface-stateless	layer	TOOL_FAIL	samples/wave2/서울특별시/2017/agent-surface-stateless-005006.hwp	서울특별시	2017	hwp	0	1	0	
w2_agent_surface_stateless-005007	agent-surface-stateless	layer	ENV_OK	samples/wave2/경기도/2017/agent-surface-stateless-005007.hwpx	경기도	2017	hwpx	0	0	0	
w2_agent_surface_stateless-005008	agent-surface-stateless	layer	ENV_JUDGE	samples/wave2/부산광역시/2017/agent-surface-stateless-005008.hwp	부산광역시	2017	hwp	0	0	1	
w2_agent_surface_stateless-005009	agent-surface-stateless	layer	ENV_JUDGE	samples/wave2/제주특별자치도/2017/agent-surface-stateless-005009.hwpx	제주특별자치도	2017	hwpx	0	0	2	
w2_agent_surface_stateless-005010	agent-surface-stateless	layer	ENV_JUDGE	samples/wave2/법제처/2018/agent-surface-stateless-005010.hwp	법제처	2018	hwp	0	0	3	
w2_agent_surface_stateless-005011	agent-surface-stateless	layer	ENV_UNKNOWN	samples/wave2/행정안전부/2018/agent-surface-stateless-005011.hwpx	행정안전부	2018	hwpx	0	0	9	
w2_agent_surface_stateless-005012	agent-surface-stateless	layer	RPC_FAIL	samples/wave2/국세청/2018/agent-surface-stateless-005012.hwp	국세청	2018	hwp	1	0	0	
w2_agent_surface_stateless-005013	agent-surface-stateless	layer	TOOL_FAIL	samples/wave2/대법원/2018/agent-surface-stateless-005013.hwpx	대법원	2018	hwpx	0	1	0	
w2_agent_surface_stateless-005014	agent-surface-stateless	layer	ENV_OK	samples/wave2/특허청/2018/agent-surface-stateless-005014.hwp	특허청	2018	hwp	0	0	0	
w2_agent_surface_stateless-005015	agent-surface-stateless	layer	ENV_JUDGE	samples/wave2/교육부/2018/agent-surface-stateless-005015.hwpx	교육부	2018	hwpx	0	0	1	
w2_agent_surface_stateless-005016	agent-surface-stateless	layer	ENV_JUDGE	samples/wave2/보건복지부/2018/agent-surface-stateless-005016.hwp	보건복지부	2018	hwp	0	0	2	
w2_agent_surface_stateless-005017	agent-surface-stateless	layer	ENV_JUDGE	samples/wave2/국토교통부/2018/agent-surface-stateless-005017.hwpx	국토교통부	2018	hwpx	0	0	3	
w2_agent_surface_stateless-005018	agent-surface-stateless	layer	ENV_UNKNOWN	samples/wave2/고용노동부/2018/agent-surface-stateless-005018.hwp	고용노동부	2018	hwp	0	0	9	
w2_agent_surface_stateless-005019	agent-surface-stateless	layer	RPC_FAIL	samples/wave2/외교부/2018/agent-surface-stateless-005019.hwpx	외교부	2018	hwpx	1	0	0	
w2_agent_surface_stateless-005020	agent-surface-stateless	layer	TOOL_FAIL	samples/wave2/기획재정부/2018/agent-surface-stateless-005020.hwp	기획재정부	2018	hwp	0	1	0	
w2_agent_surface_stateless-005021	agent-surface-stateless	layer	ENV_OK	samples/wave2/공정거래위원회/2018/agent-surface-stateless-005021.hwpx	공정거래위원회	2018	hwpx	0	0	0	
w2_agent_surface_stateless-005022	agent-surface-stateless	layer	ENV_JUDGE	samples/wave2/금융위원회/2018/agent-surface-stateless-005022.hwp	금융위원회	2018	hwp	0	0	1	
w2_agent_surface_stateless-005023	agent-surface-stateless	layer	ENV_JUDGE	samples/wave2/통계청/2018/agent-surface-stateless-005023.hwpx	통계청	2018	hwpx	0	0	2	
w2_agent_surface_stateless-005024	agent-surface-stateless	layer	ENV_JUDGE	samples/wave2/기상청/2018/agent-surface-stateless-005024.hwp	기상청	2018	hwp	0	0	3	
w2_agent_surface_stateless-005025	agent-surface-stateless	layer	ENV_UNKNOWN	samples/wave2/관세청/2018/agent-surface-stateless-005025.hwpx	관세청	2018	hwpx	0	0	9	
w2_agent_surface_stateless-005026	agent-surface-stateless	layer	RPC_FAIL	samples/wave2/검찰청/2018/agent-surface-stateless-005026.hwp	검찰청	2018	hwp	1	0	0	
w2_agent_surface_stateless-005027	agent-surface-stateless	layer	TOOL_FAIL	samples/wave2/경찰청/2018/agent-surface-stateless-005027.hwpx	경찰청	2018	hwpx	0	1	0	
w2_agent_surface_stateless-005028	agent-surface-stateless	layer	ENV_OK	samples/wave2/소방청/2018/agent-surface-stateless-005028.hwp	소방청	2018	hwp	0	0	0	
w2_agent_surface_stateless-005029	agent-surface-stateless	layer	ENV_JUDGE	samples/wave2/병무청/2018/agent-surface-stateless-005029.hwpx	병무청	2018	hwpx	0	0	1	
w2_agent_surface_stateless-005030	agent-surface-stateless	layer	ENV_JUDGE	samples/wave2/산림청/2018/agent-surface-stateless-005030.hwp	산림청	2018	hwp	0	0	2	
w2_agent_surface_stateless-005031	agent-surface-stateless	layer	ENV_JUDGE	samples/wave2/중소벤처기업부/2018/agent-surface-stateless-005031.hwpx	중소벤처기업부	2018	hwpx	0	0	3	
w2_agent_surface_stateless-005032	agent-surface-stateless	layer	ENV_UNKNOWN	samples/wave2/과학기술정보통신부/2018/agent-surface-stateless-005032.hwp	과학기술정보통신부	2018	hwp	0	0	9	
w2_agent_surface_stateless-005033	agent-surface-stateless	layer	RPC_FAIL	samples/wave2/문화체육관광부/2018/agent-surface-stateless-005033.hwpx	문화체육관광부	2018	hwpx	1	0	0	
w2_agent_surface_stateless-005034	agent-surface-stateless	layer	TOOL_FAIL	samples/wave2/환경부/2018/agent-surface-stateless-005034.hwp	환경부	2018	hwp	0	1	0	
w2_agent_surface_stateless-005035	agent-surface-stateless	layer	ENV_OK	samples/wave2/해양수산부/2018/agent-surface-stateless-005035.hwpx	해양수산부	2018	hwpx	0	0	0	
w2_agent_surface_stateless-005036	agent-surface-stateless	layer	ENV_JUDGE	samples/wave2/서울특별시/2018/agent-surface-stateless-005036.hwp	서울특별시	2018	hwp	0	0	1	
w2_agent_surface_stateless-005037	agent-surface-stateless	layer	ENV_JUDGE	samples/wave2/경기도/2018/agent-surface-stateless-005037.hwpx	경기도	2018	hwpx	0	0	2	
w2_agent_surface_stateless-005038	agent-surface-stateless	layer	ENV_JUDGE	samples/wave2/부산광역시/2018/agent-surface-stateless-005038.hwp	부산광역시	2018	hwp	0	0	3	
w2_agent_surface_stateless-005039	agent-surface-stateless	layer	ENV_UNKNOWN	samples/wave2/제주특별자치도/2018/agent-surface-stateless-005039.hwpx	제주특별자치도	2018	hwpx	0	0	9	
w2_agent_surface_stateless-005040	agent-surface-stateless	layer	RPC_FAIL	samples/wave2/법제처/2019/agent-surface-stateless-005040.hwp	법제처	2019	hwp	1	0	0	
w2_agent_surface_stateless-005041	agent-surface-stateless	layer	TOOL_FAIL	samples/wave2/행정안전부/2019/agent-surface-stateless-005041.hwpx	행정안전부	2019	hwpx	0	1	0	
w2_agent_surface_stateless-005042	agent-surface-stateless	layer	ENV_OK	samples/wave2/국세청/2019/agent-surface-stateless-005042.hwp	국세청	2019	hwp	0	0	0	
w2_agent_surface_stateless-005043	agent-surface-stateless	layer	ENV_JUDGE	samples/wave2/대법원/2019/agent-surface-stateless-005043.hwpx	대법원	2019	hwpx	0	0	1	
w2_agent_surface_stateless-005044	agent-surface-stateless	layer	ENV_JUDGE	samples/wave2/특허청/2019/agent-surface-stateless-005044.hwp	특허청	2019	hwp	0	0	2	
w2_agent_surface_stateless-005045	agent-surface-stateless	layer	ENV_JUDGE	samples/wave2/교육부/2019/agent-surface-stateless-005045.hwpx	교육부	2019	hwpx	0	0	3	
w2_agent_surface_stateless-005046	agent-surface-stateless	layer	ENV_UNKNOWN	samples/wave2/보건복지부/2019/agent-surface-stateless-005046.hwp	보건복지부	2019	hwp	0	0	9	
w2_agent_surface_stateless-005047	agent-surface-stateless	layer	RPC_FAIL	samples/wave2/국토교통부/2019/agent-surface-stateless-005047.hwpx	국토교통부	2019	hwpx	1	0	0	
w2_agent_surface_stateless-005048	agent-surface-stateless	layer	TOOL_FAIL	samples/wave2/고용노동부/2019/agent-surface-stateless-005048.hwp	고용노동부	2019	hwp	0	1	0	
w2_agent_surface_stateless-005049	agent-surface-stateless	layer	ENV_OK	samples/wave2/외교부/2019/agent-surface-stateless-005049.hwpx	외교부	2019	hwpx	0	0	0	
w2_agent_surface_stateless-005050	agent-surface-stateless	layer	ENV_JUDGE	samples/wave2/기획재정부/2019/agent-surface-stateless-005050.hwp	기획재정부	2019	hwp	0	0	1	
w2_agent_surface_stateless-005051	agent-surface-stateless	layer	ENV_JUDGE	samples/wave2/공정거래위원회/2019/agent-surface-stateless-005051.hwpx	공정거래위원회	2019	hwpx	0	0	2	
w2_agent_surface_stateless-005052	agent-surface-stateless	layer	ENV_JUDGE	samples/wave2/금융위원회/2019/agent-surface-stateless-005052.hwp	금융위원회	2019	hwp	0	0	3	
w2_agent_surface_stateless-005053	agent-surface-stateless	layer	ENV_UNKNOWN	samples/wave2/통계청/2019/agent-surface-stateless-005053.hwpx	통계청	2019	hwpx	0	0	9	
w2_agent_surface_stateless-005054	agent-surface-stateless	layer	RPC_FAIL	samples/wave2/기상청/2019/agent-surface-stateless-005054.hwp	기상청	2019	hwp	1	0	0	
