case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_set_form_value-010000	edit-set-form-value	reread	REREAD_OK	samples/wave2/기획재정부/2019/edit-set-form-value-010000.hwp	기획재정부	2019	hwp	1	2	2	
w2_edit_set_form_value-010001	edit-set-form-value	reread	REREAD_DRIFT	samples/wave2/공정거래위원회/2019/edit-set-form-value-010001.hwpx	공정거래위원회	2019	hwpx	1	3	4	
w2_edit_set_form_value-010002	edit-set-form-value	reread	NOT_EVIDENCE	samples/wave2/금융위원회/2019/edit-set-form-value-010002.hwp	금융위원회	2019	hwp	0	4	5	
w2_edit_set_form_value-010003	edit-set-form-value	reread	REREAD_OK	samples/wave2/통계청/2019/edit-set-form-value-010003.hwpx	통계청	2019	hwpx	1	5	5	
w2_edit_set_form_value-010004	edit-set-form-value	reread	REREAD_OK	samples/wave2/기상청/2019/edit-set-form-value-010004.hwp	기상청	2019	hwp	1	6	6	
w2_edit_set_form_value-010005	edit-set-form-value	reread	REREAD_OK	samples/wave2/관세청/2019/edit-set-form-value-010005.hwpx	관세청	2019	hwpx	1	7	7	
w2_edit_set_form_value-010006	edit-set-form-value	reread	REREAD_OK	samples/wave2/검찰청/2019/edit-set-form-value-010006.hwp	검찰청	2019	hwp	1	8	8	
w2_edit_set_form_value-010007	edit-set-form-value	reread	REREAD_OK	samples/wave2/경찰청/2019/edit-set-form-value-010007.hwpx	경찰청	2019	hwpx	1	9	9	
w2_edit_set_form_value-010008	edit-set-form-value	reread	REREAD_DRIFT	samples/wave2/소방청/2019/edit-set-form-value-010008.hwp	소방청	2019	hwp	1	1	2	
w2_edit_set_form_value-010009	edit-set-form-value	reread	NOT_EVIDENCE	samples/wave2/병무청/2019/edit-set-form-value-010009.hwpx	병무청	2019	hwpx	0	2	3	
w2_edit_set_form_value-010010	edit-set-form-value	reread	REREAD_OK	samples/wave2/산림청/2019/edit-set-form-value-010010.hwp	산림청	2019	hwp	1	3	3	
w2_edit_set_form_value-010011	edit-set-form-value	reread	REREAD_OK	samples/wave2/중소벤처기업부/2019/edit-set-form-value-010011.hwpx	중소벤처기업부	2019	hwpx	1	4	4	
w2_edit_set_form_value-010012	edit-set-form-value	reread	REREAD_OK	samples/wave2/과학기술정보통신부/2019/edit-set-form-value-010012.hwp	과학기술정보통신부	2019	hwp	1	5	5	
w2_edit_set_form_value-010013	edit-set-form-value	reread	REREAD_OK	samples/wave2/문화체육관광부/2019/edit-set-form-value-010013.hwpx	문화체육관광부	2019	hwpx	1	6	6	
w2_edit_set_form_value-010014	edit-set-form-value	reread	REREAD_OK	samples/wave2/환경부/2019/edit-set-form-value-010014.hwp	환경부	2019	hwp	1	7	7	
w2_edit_set_form_value-010015	edit-set-form-value	reread	REREAD_DRIFT	samples/wave2/해양수산부/2019/edit-set-form-value-010015.hwpx	해양수산부	2019	hwpx	1	8	9	
w2_edit_set_form_value-010016	edit-set-form-value	reread	NOT_EVIDENCE	samples/wave2/서울특별시/2019/edit-set-form-value-010016.hwp	서울특별시	2019	hwp	0	9	10	
w2_edit_set_form_value-010017	edit-set-form-value	reread	REREAD_OK	samples/wave2/경기도/2019/edit-set-form-value-010017.hwpx	경기도	2019	hwpx	1	1	1	
w2_edit_set_form_value-010018	edit-set-form-value	reread	REREAD_OK	samples/wave2/부산광역시/2019/edit-set-form-value-010018.hwp	부산광역시	2019	hwp	1	2	2	
w2_edit_set_form_value-010019	edit-set-form-value	reread	REREAD_OK	samples/wave2/제주특별자치도/2019/edit-set-form-value-010019.hwpx	제주특별자치도	2019	hwpx	1	3	3	
w2_edit_set_form_value-010020	edit-set-form-value	reread	REREAD_OK	samples/wave2/법제처/2020/edit-set-form-value-010020.hwp	법제처	2020	hwp	1	4	4	
w2_edit_set_form_value-010021	edit-set-form-value	reread	REREAD_OK	samples/wave2/행정안전부/2020/edit-set-form-value-010021.hwpx	행정안전부	2020	hwpx	1	5	5	
w2_edit_set_form_value-010022	edit-set-form-value	reread	REREAD_DRIFT	samples/wave2/국세청/2020/edit-set-form-value-010022.hwp	국세청	2020	hwp	1	6	7	
w2_edit_set_form_value-010023	edit-set-form-value	reread	NOT_EVIDENCE	samples/wave2/대법원/2020/edit-set-form-value-010023.hwpx	대법원	2020	hwpx	0	7	8	
w2_edit_set_form_value-010024	edit-set-form-value	reread	REREAD_OK	samples/wave2/특허청/2020/edit-set-form-value-010024.hwp	특허청	2020	hwp	1	8	8	
w2_edit_set_form_value-010025	edit-set-form-value	reread	REREAD_OK	samples/wave2/교육부/2020/edit-set-form-value-010025.hwpx	교육부	2020	hwpx	1	9	9	
w2_edit_set_form_value-010026	edit-set-form-value	reread	REREAD_OK	samples/wave2/보건복지부/2020/edit-set-form-value-010026.hwp	보건복지부	2020	hwp	1	1	1	
w2_edit_set_form_value-010027	edit-set-form-value	reread	REREAD_OK	samples/wave2/국토교통부/2020/edit-set-form-value-010027.hwpx	국토교통부	2020	hwpx	1	2	2	
w2_edit_set_form_value-010028	edit-set-form-value	reread	REREAD_OK	samples/wave2/고용노동부/2020/edit-set-form-value-010028.hwp	고용노동부	2020	hwp	1	3	3	
w2_edit_set_form_value-010029	edit-set-form-value	reread	REREAD_DRIFT	samples/wave2/외교부/2020/edit-set-form-value-010029.hwpx	외교부	2020	hwpx	1	4	5	
w2_edit_set_form_value-010030	edit-set-form-value	reread	NOT_EVIDENCE	samples/wave2/기획재정부/2020/edit-set-form-value-010030.hwp	기획재정부	2020	hwp	0	5	6	
w2_edit_set_form_value-010031	edit-set-form-value	reread	REREAD_OK	samples/wave2/공정거래위원회/2020/edit-set-form-value-010031.hwpx	공정거래위원회	2020	hwpx	1	6	6	
w2_edit_set_form_value-010032	edit-set-form-value	reread	REREAD_OK	samples/wave2/금융위원회/2020/edit-set-form-value-010032.hwp	금융위원회	2020	hwp	1	7	7	
w2_edit_set_form_value-010033	edit-set-form-value	reread	REREAD_OK	samples/wave2/통계청/2020/edit-set-form-value-010033.hwpx	통계청	2020	hwpx	1	8	8	
w2_edit_set_form_value-010034	edit-set-form-value	reread	REREAD_OK	samples/wave2/기상청/2020/edit-set-form-value-010034.hwp	기상청	2020	hwp	1	9	9	
w2_edit_set_form_value-010035	edit-set-form-value	reread	REREAD_OK	samples/wave2/관세청/2020/edit-set-form-value-010035.hwpx	관세청	2020	hwpx	1	1	1	
w2_edit_set_form_value-010036	edit-set-form-value	reread	REREAD_DRIFT	samples/wave2/검찰청/2020/edit-set-form-value-010036.hwp	검찰청	2020	hwp	1	2	3	
w2_edit_set_form_value-010037	edit-set-form-value	reread	NOT_EVIDENCE	samples/wave2/경찰청/2020/edit-set-form-value-010037.hwpx	경찰청	2020	hwpx	0	3	4	
w2_edit_set_form_value-010038	edit-set-form-value	reread	REREAD_OK	samples/wave2/소방청/2020/edit-set-form-value-010038.hwp	소방청	2020	hwp	1	4	4	
w2_edit_set_form_value-010039	edit-set-form-value	reread	REREAD_OK	samples/wave2/병무청/2020/edit-set-form-value-010039.hwpx	병무청	2020	hwpx	1	5	5	
w2_edit_set_form_value-010040	edit-set-form-value	reread	REREAD_OK	samples/wave2/산림청/2020/edit-set-form-value-010040.hwp	산림청	2020	hwp	1	6	6	
w2_edit_set_form_value-010041	edit-set-form-value	reread	REREAD_OK	samples/wave2/중소벤처기업부/2020/edit-set-form-value-010041.hwpx	중소벤처기업부	2020	hwpx	1	7	7	
w2_edit_set_form_value-010042	edit-set-form-value	reread	REREAD_OK	samples/wave2/과학기술정보통신부/2020/edit-set-form-value-010042.hwp	과학기술정보통신부	2020	hwp	1	8	8	
w2_edit_set_form_value-010043	edit-set-form-value	reread	REREAD_DRIFT	samples/wave2/문화체육관광부/2020/edit-set-form-value-010043.hwpx	문화체육관광부	2020	hwpx	1	9	10	
w2_edit_set_form_value-010044	edit-set-form-value	reread	NOT_EVIDENCE	samples/wave2/환경부/2020/edit-set-form-value-010044.hwp	환경부	2020	hwp	0	1	2	
