case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_skill_security-010000	skill-security	signal	ANOMALY	samples/기획재정부/2019/skill-security-010000.hwp	기획재정부	2019	hwp	2	1		
u_skill_security-010001	skill-security	signal	ANOMALY	samples/공정거래위원회/2019/skill-security-010001.hwpx	공정거래위원회	2019	hwpx	3	1		
u_skill_security-010002	skill-security	signal	SIGNAL_LIE	samples/금융위원회/2019/skill-security-010002.hwp	금융위원회	2019	hwp	4	0		
u_skill_security-010003	skill-security	signal	CLEAN	samples/통계청/2019/skill-security-010003.hwpx	통계청	2019	hwpx	0	0		
u_skill_security-010004	skill-security	signal	CLEAN	samples/기상청/2019/skill-security-010004.hwp	기상청	2019	hwp	0	0		
u_skill_security-010005	skill-security	signal	CLEAN	samples/관세청/2019/skill-security-010005.hwpx	관세청	2019	hwpx	0	0		
u_skill_security-010006	skill-security	signal	ANOMALY	samples/검찰청/2019/skill-security-010006.hwp	검찰청	2019	hwp	8	1		
u_skill_security-010007	skill-security	signal	ANOMALY	samples/경찰청/2019/skill-security-010007.hwpx	경찰청	2019	hwpx	9	1		
u_skill_security-010008	skill-security	signal	ANOMALY	samples/소방청/2019/skill-security-010008.hwp	소방청	2019	hwp	1	1		
u_skill_security-010009	skill-security	signal	SIGNAL_LIE	samples/병무청/2019/skill-security-010009.hwpx	병무청	2019	hwpx	2	0		
u_skill_security-010010	skill-security	signal	CLEAN	samples/산림청/2019/skill-security-010010.hwp	산림청	2019	hwp	0	0		
u_skill_security-010011	skill-security	signal	CLEAN	samples/중소벤처기업부/2019/skill-security-010011.hwpx	중소벤처기업부	2019	hwpx	0	0		
u_skill_security-010012	skill-security	signal	CLEAN	samples/과학기술정보통신부/2019/skill-security-010012.hwp	과학기술정보통신부	2019	hwp	0	0		
u_skill_security-010013	skill-security	signal	ANOMALY	samples/문화체육관광부/2019/skill-security-010013.hwpx	문화체육관광부	2019	hwpx	6	1		
u_skill_security-010014	skill-security	signal	ANOMALY	samples/환경부/2019/skill-security-010014.hwp	환경부	2019	hwp	7	1		
u_skill_security-010015	skill-security	signal	ANOMALY	samples/해양수산부/2019/skill-security-010015.hwpx	해양수산부	2019	hwpx	8	1		
u_skill_security-010016	skill-security	signal	SIGNAL_LIE	samples/서울특별시/2019/skill-security-010016.hwp	서울특별시	2019	hwp	9	0		
