case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_search_snippet_bound-015000	search-snippet-bound	bound	BOUND_OK	samples/wave2/법제처/2021/search-snippet-bound-015000.hwp	법제처	2021	hwp	60	60	0	
w2_search_snippet_bound-015001	search-snippet-bound	bound	BOUND_OK	samples/wave2/행정안전부/2021/search-snippet-bound-015001.hwpx	행정안전부	2021	hwpx	61	53	0	
w2_search_snippet_bound-015002	search-snippet-bound	bound	BOUND_OK	samples/wave2/국세청/2021/search-snippet-bound-015002.hwp	국세청	2021	hwp	62	53	0	
w2_search_snippet_bound-015003	search-snippet-bound	bound	BOUND_FALSE_POS	samples/wave2/대법원/2021/search-snippet-bound-015003.hwpx	대법원	2021	hwpx	63	62	1	
w2_search_snippet_bound-015004	search-snippet-bound	bound	BOUND_FALSE_POS	samples/wave2/특허청/2021/search-snippet-bound-015004.hwp	특허청	2021	hwp	64	62	1	
w2_search_snippet_bound-015005	search-snippet-bound	bound	BOUND_LIE	samples/wave2/교육부/2021/search-snippet-bound-015005.hwpx	교육부	2021	hwpx	65	68	0	
w2_search_snippet_bound-015006	search-snippet-bound	bound	BOUND_OK	samples/wave2/보건복지부/2021/search-snippet-bound-015006.hwp	보건복지부	2021	hwp	66	70	1	
w2_search_snippet_bound-015007	search-snippet-bound	bound	BOUND_OK	samples/wave2/국토교통부/2021/search-snippet-bound-015007.hwpx	국토교통부	2021	hwpx	67	67	0	
w2_search_snippet_bound-015008	search-snippet-bound	bound	BOUND_OK	samples/wave2/고용노동부/2021/search-snippet-bound-015008.hwp	고용노동부	2021	hwp	68	62	0	
w2_search_snippet_bound-015009	search-snippet-bound	bound	BOUND_OK	samples/wave2/외교부/2021/search-snippet-bound-015009.hwpx	외교부	2021	hwpx	69	62	0	
w2_search_snippet_bound-015010	search-snippet-bound	bound	BOUND_FALSE_POS	samples/wave2/기획재정부/2021/search-snippet-bound-015010.hwp	기획재정부	2021	hwp	70	62	1	
w2_search_snippet_bound-015011	search-snippet-bound	bound	BOUND_FALSE_POS	samples/wave2/공정거래위원회/2021/search-snippet-bound-015011.hwpx	공정거래위원회	2021	hwpx	71	62	1	
w2_search_snippet_bound-015012	search-snippet-bound	bound	BOUND_LIE	samples/wave2/금융위원회/2021/search-snippet-bound-015012.hwp	금융위원회	2021	hwp	72	73	0	
w2_search_snippet_bound-015013	search-snippet-bound	bound	BOUND_OK	samples/wave2/통계청/2021/search-snippet-bound-015013.hwpx	통계청	2021	hwpx	73	75	1	
w2_search_snippet_bound-015014	search-snippet-bound	bound	BOUND_OK	samples/wave2/기상청/2021/search-snippet-bound-015014.hwp	기상청	2021	hwp	74	74	0	
w2_search_snippet_bound-015015	search-snippet-bound	bound	BOUND_OK	samples/wave2/관세청/2021/search-snippet-bound-015015.hwpx	관세청	2021	hwpx	75	71	0	
w2_search_snippet_bound-015016	search-snippet-bound	bound	BOUND_OK	samples/wave2/검찰청/2021/search-snippet-bound-015016.hwp	검찰청	2021	hwp	76	71	0	
w2_search_snippet_bound-015017	search-snippet-bound	bound	BOUND_FALSE_POS	samples/wave2/경찰청/2021/search-snippet-bound-015017.hwpx	경찰청	2021	hwpx	77	71	1	
w2_search_snippet_bound-015018	search-snippet-bound	bound	BOUND_FALSE_POS	samples/wave2/소방청/2021/search-snippet-bound-015018.hwp	소방청	2021	hwp	78	71	1	
w2_search_snippet_bound-015019	search-snippet-bound	bound	BOUND_LIE	samples/wave2/병무청/2021/search-snippet-bound-015019.hwpx	병무청	2021	hwpx	79	87	0	
w2_search_snippet_bound-015020	search-snippet-bound	bound	BOUND_OK	samples/wave2/산림청/2021/search-snippet-bound-015020.hwp	산림청	2021	hwp	80	89	1	
w2_search_snippet_bound-015021	search-snippet-bound	bound	BOUND_OK	samples/wave2/중소벤처기업부/2021/search-snippet-bound-015021.hwpx	중소벤처기업부	2021	hwpx	81	81	0	
w2_search_snippet_bound-015022	search-snippet-bound	bound	BOUND_OK	samples/wave2/과학기술정보통신부/2021/search-snippet-bound-015022.hwp	과학기술정보통신부	2021	hwp	82	80	0	
w2_search_snippet_bound-015023	search-snippet-bound	bound	BOUND_OK	samples/wave2/문화체육관광부/2021/search-snippet-bound-015023.hwpx	문화체육관광부	2021	hwpx	83	80	0	
w2_search_snippet_bound-015024	search-snippet-bound	bound	BOUND_FALSE_POS	samples/wave2/환경부/2021/search-snippet-bound-015024.hwp	환경부	2021	hwp	84	80	1	
w2_search_snippet_bound-015025	search-snippet-bound	bound	BOUND_FALSE_POS	samples/wave2/해양수산부/2021/search-snippet-bound-015025.hwpx	해양수산부	2021	hwpx	85	80	1	
w2_search_snippet_bound-015026	search-snippet-bound	bound	BOUND_LIE	samples/wave2/서울특별시/2021/search-snippet-bound-015026.hwp	서울특별시	2021	hwp	86	92	0	
w2_search_snippet_bound-015027	search-snippet-bound	bound	BOUND_OK	samples/wave2/경기도/2021/search-snippet-bound-015027.hwpx	경기도	2021	hwpx	87	94	1	
w2_search_snippet_bound-015028	search-snippet-bound	bound	BOUND_OK	samples/wave2/부산광역시/2021/search-snippet-bound-015028.hwp	부산광역시	2021	hwp	88	88	0	
w2_search_snippet_bound-015029	search-snippet-bound	bound	BOUND_OK	samples/wave2/제주특별자치도/2021/search-snippet-bound-015029.hwpx	제주특별자치도	2021	hwpx	89	80	0	
w2_search_snippet_bound-015030	search-snippet-bound	bound	BOUND_OK	samples/wave2/법제처/2022/search-snippet-bound-015030.hwp	법제처	2022	hwp	90	89	0	
w2_search_snippet_bound-015031	search-snippet-bound	bound	BOUND_FALSE_POS	samples/wave2/행정안전부/2022/search-snippet-bound-015031.hwpx	행정안전부	2022	hwpx	91	89	1	
w2_search_snippet_bound-015032	search-snippet-bound	bound	BOUND_FALSE_POS	samples/wave2/국세청/2022/search-snippet-bound-015032.hwp	국세청	2022	hwp	92	89	1	
w2_search_snippet_bound-015033	search-snippet-bound	bound	BOUND_LIE	samples/wave2/대법원/2022/search-snippet-bound-015033.hwpx	대법원	2022	hwpx	93	97	0	
w2_search_snippet_bound-015034	search-snippet-bound	bound	BOUND_OK	samples/wave2/특허청/2022/search-snippet-bound-015034.hwp	특허청	2022	hwp	94	99	1	
w2_search_snippet_bound-015035	search-snippet-bound	bound	BOUND_OK	samples/wave2/교육부/2022/search-snippet-bound-015035.hwpx	교육부	2022	hwpx	95	95	0	
w2_search_snippet_bound-015036	search-snippet-bound	bound	BOUND_OK	samples/wave2/보건복지부/2022/search-snippet-bound-015036.hwp	보건복지부	2022	hwp	96	89	0	
w2_search_snippet_bound-015037	search-snippet-bound	bound	BOUND_OK	samples/wave2/국토교통부/2022/search-snippet-bound-015037.hwpx	국토교통부	2022	hwpx	97	89	0	
w2_search_snippet_bound-015038	search-snippet-bound	bound	BOUND_FALSE_POS	samples/wave2/고용노동부/2022/search-snippet-bound-015038.hwp	고용노동부	2022	hwp	98	89	1	
w2_search_snippet_bound-015039	search-snippet-bound	bound	BOUND_FALSE_POS	samples/wave2/외교부/2022/search-snippet-bound-015039.hwpx	외교부	2022	hwpx	99	98	1	
w2_search_snippet_bound-015040	search-snippet-bound	bound	BOUND_LIE	samples/wave2/기획재정부/2022/search-snippet-bound-015040.hwp	기획재정부	2022	hwp	20	22	0	
w2_search_snippet_bound-015041	search-snippet-bound	bound	BOUND_OK	samples/wave2/공정거래위원회/2022/search-snippet-bound-015041.hwpx	공정거래위원회	2022	hwpx	21	24	1	
w2_search_snippet_bound-015042	search-snippet-bound	bound	BOUND_OK	samples/wave2/금융위원회/2022/search-snippet-bound-015042.hwp	금융위원회	2022	hwp	22	22	0	
w2_search_snippet_bound-015043	search-snippet-bound	bound	BOUND_OK	samples/wave2/통계청/2022/search-snippet-bound-015043.hwpx	통계청	2022	hwpx	23	18	0	
w2_search_snippet_bound-015044	search-snippet-bound	bound	BOUND_OK	samples/wave2/기상청/2022/search-snippet-bound-015044.hwp	기상청	2022	hwp	24	18	0	
w2_search_snippet_bound-015045	search-snippet-bound	bound	BOUND_FALSE_POS	samples/wave2/관세청/2022/search-snippet-bound-015045.hwpx	관세청	2022	hwpx	25	18	1	
w2_search_snippet_bound-015046	search-snippet-bound	bound	BOUND_FALSE_POS	samples/wave2/검찰청/2022/search-snippet-bound-015046.hwp	검찰청	2022	hwp	26	18	1	
w2_search_snippet_bound-015047	search-snippet-bound	bound	BOUND_LIE	samples/wave2/경찰청/2022/search-snippet-bound-015047.hwpx	경찰청	2022	hwpx	27	36	0	
w2_search_snippet_bound-015048	search-snippet-bound	bound	BOUND_OK	samples/wave2/소방청/2022/search-snippet-bound-015048.hwp	소방청	2022	hwp	28	29	1	
w2_search_snippet_bound-015049	search-snippet-bound	bound	BOUND_OK	samples/wave2/병무청/2022/search-snippet-bound-015049.hwpx	병무청	2022	hwpx	29	29	0	
w2_search_snippet_bound-015050	search-snippet-bound	bound	BOUND_OK	samples/wave2/산림청/2022/search-snippet-bound-015050.hwp	산림청	2022	hwp	30	27	0	
w2_search_snippet_bound-015051	search-snippet-bound	bound	BOUND_OK	samples/wave2/중소벤처기업부/2022/search-snippet-bound-015051.hwpx	중소벤처기업부	2022	hwpx	31	27	0	
w2_search_snippet_bound-015052	search-snippet-bound	bound	BOUND_FALSE_POS	samples/wave2/과학기술정보통신부/2022/search-snippet-bound-015052.hwp	과학기술정보통신부	2022	hwp	32	27	1	
w2_search_snippet_bound-015053	search-snippet-bound	bound	BOUND_FALSE_POS	samples/wave2/문화체육관광부/2022/search-snippet-bound-015053.hwpx	문화체육관광부	2022	hwpx	33	27	1	
w2_search_snippet_bound-015054	search-snippet-bound	bound	BOUND_LIE	samples/wave2/환경부/2022/search-snippet-bound-015054.hwp	환경부	2022	hwp	34	41	0	
w2_search_snippet_bound-015055	search-snippet-bound	bound	BOUND_OK	samples/wave2/해양수산부/2022/search-snippet-bound-015055.hwpx	해양수산부	2022	hwpx	35	43	1	
w2_search_snippet_bound-015056	search-snippet-bound	bound	BOUND_OK	samples/wave2/서울특별시/2022/search-snippet-bound-015056.hwp	서울특별시	2022	hwp	36	36	0	
w2_search_snippet_bound-015057	search-snippet-bound	bound	BOUND_OK	samples/wave2/경기도/2022/search-snippet-bound-015057.hwpx	경기도	2022	hwpx	37	36	0	
w2_search_snippet_bound-015058	search-snippet-bound	bound	BOUND_OK	samples/wave2/부산광역시/2022/search-snippet-bound-015058.hwp	부산광역시	2022	hwp	38	36	0	
w2_search_snippet_bound-015059	search-snippet-bound	bound	BOUND_FALSE_POS	samples/wave2/제주특별자치도/2022/search-snippet-bound-015059.hwpx	제주특별자치도	2022	hwpx	39	36	1	
