case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_lineseg_overwrite-005000	lineseg-overwrite	round	ROUND_OK	samples/산림청/2017/lineseg-overwrite-005000.hwp	산림청	2017	hwp	1	1	1	
u_lineseg_overwrite-005001	lineseg-overwrite	round	ROUND_OK	samples/중소벤처기업부/2017/lineseg-overwrite-005001.hwpx	중소벤처기업부	2017	hwpx	2	2	1	
u_lineseg_overwrite-005002	lineseg-overwrite	round	FORMAT_NA	samples/과학기술정보통신부/2017/lineseg-overwrite-005002.hwp	과학기술정보통신부	2017	hwp	3	3	0	
u_lineseg_overwrite-005003	lineseg-overwrite	round	ROUND_DRIFT	samples/문화체육관광부/2017/lineseg-overwrite-005003.hwpx	문화체육관광부	2017	hwpx	4	5	1	
u_lineseg_overwrite-005004	lineseg-overwrite	round	ROUND_DRIFT	samples/환경부/2017/lineseg-overwrite-005004.hwp	환경부	2017	hwp	5	4	1	
u_lineseg_overwrite-005005	lineseg-overwrite	round	ROUND_OK	samples/해양수산부/2017/lineseg-overwrite-005005.hwpx	해양수산부	2017	hwpx	6	6	1	
u_lineseg_overwrite-005006	lineseg-overwrite	round	ROUND_OK	samples/서울특별시/2017/lineseg-overwrite-005006.hwp	서울특별시	2017	hwp	7	7	1	
u_lineseg_overwrite-005007	lineseg-overwrite	round	ROUND_OK	samples/경기도/2017/lineseg-overwrite-005007.hwpx	경기도	2017	hwpx	8	8	1	
u_lineseg_overwrite-005008	lineseg-overwrite	round	ROUND_OK	samples/부산광역시/2017/lineseg-overwrite-005008.hwp	부산광역시	2017	hwp	9	9	1	
u_lineseg_overwrite-005009	lineseg-overwrite	round	FORMAT_NA	samples/제주특별자치도/2017/lineseg-overwrite-005009.hwpx	제주특별자치도	2017	hwpx	10	10	0	
u_lineseg_overwrite-005010	lineseg-overwrite	round	ROUND_DRIFT	samples/법제처/2018/lineseg-overwrite-005010.hwp	법제처	2018	hwp	11	12	1	
u_lineseg_overwrite-005011	lineseg-overwrite	round	ROUND_DRIFT	samples/행정안전부/2018/lineseg-overwrite-005011.hwpx	행정안전부	2018	hwpx	12	11	1	
