case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_edit_insert_text_in_cell-005000	edit-insert-text-in-cell	coord	COORD_OK	samples/wave2/산림청/2017/edit-insert-text-in-cell-005000.hwp	산림청	2017	hwp	0	4	2	6
w2_edit_insert_text_in_cell-005001	edit-insert-text-in-cell	coord	COORD_OK	samples/wave2/중소벤처기업부/2017/edit-insert-text-in-cell-005001.hwpx	중소벤처기업부	2017	hwpx	0	5	3	6
w2_edit_insert_text_in_cell-005002	edit-insert-text-in-cell	coord	COORD_OK	samples/wave2/과학기술정보통신부/2017/edit-insert-text-in-cell-005002.hwp	과학기술정보통신부	2017	hwp	2	1	4	7
w2_edit_insert_text_in_cell-005003	edit-insert-text-in-cell	coord	COORD_OOB	samples/wave2/문화체육관광부/2017/edit-insert-text-in-cell-005003.hwpx	문화체육관광부	2017	hwpx	6	1	5	7
w2_edit_insert_text_in_cell-005004	edit-insert-text-in-cell	coord	COORD_OOB	samples/wave2/환경부/2017/edit-insert-text-in-cell-005004.hwp	환경부	2017	hwp	6	9	6	8
w2_edit_insert_text_in_cell-005005	edit-insert-text-in-cell	coord	COORD_OK	samples/wave2/해양수산부/2017/edit-insert-text-in-cell-005005.hwpx	해양수산부	2017	hwpx	0	4	7	8
w2_edit_insert_text_in_cell-005006	edit-insert-text-in-cell	coord	COORD_OK	samples/wave2/서울특별시/2017/edit-insert-text-in-cell-005006.hwp	서울특별시	2017	hwp	6	3	8	9
w2_edit_insert_text_in_cell-005007	edit-insert-text-in-cell	coord	COORD_OK	samples/wave2/경기도/2017/edit-insert-text-in-cell-005007.hwpx	경기도	2017	hwpx	3	4	9	9
w2_edit_insert_text_in_cell-005008	edit-insert-text-in-cell	coord	COORD_OK	samples/wave2/부산광역시/2017/edit-insert-text-in-cell-005008.hwp	부산광역시	2017	hwp	8	1	10	2
w2_edit_insert_text_in_cell-005009	edit-insert-text-in-cell	coord	COORD_OK	samples/wave2/제주특별자치도/2017/edit-insert-text-in-cell-005009.hwpx	제주특별자치도	2017	hwpx	4	1	11	2
w2_edit_insert_text_in_cell-005010	edit-insert-text-in-cell	coord	COORD_OOB	samples/wave2/법제처/2018/edit-insert-text-in-cell-005010.hwp	법제처	2018	hwp	3	2	2	3
w2_edit_insert_text_in_cell-005011	edit-insert-text-in-cell	coord	COORD_OOB	samples/wave2/행정안전부/2018/edit-insert-text-in-cell-005011.hwpx	행정안전부	2018	hwpx	3	4	3	3
w2_edit_insert_text_in_cell-005012	edit-insert-text-in-cell	coord	COORD_OK	samples/wave2/국세청/2018/edit-insert-text-in-cell-005012.hwp	국세청	2018	hwp	0	2	4	4
w2_edit_insert_text_in_cell-005013	edit-insert-text-in-cell	coord	COORD_OK	samples/wave2/대법원/2018/edit-insert-text-in-cell-005013.hwpx	대법원	2018	hwpx	3	3	5	4
w2_edit_insert_text_in_cell-005014	edit-insert-text-in-cell	coord	COORD_OK	samples/wave2/특허청/2018/edit-insert-text-in-cell-005014.hwp	특허청	2018	hwp	4	1	6	5
w2_edit_insert_text_in_cell-005015	edit-insert-text-in-cell	coord	COORD_OK	samples/wave2/교육부/2018/edit-insert-text-in-cell-005015.hwpx	교육부	2018	hwpx	3	1	7	5
w2_edit_insert_text_in_cell-005016	edit-insert-text-in-cell	coord	COORD_OK	samples/wave2/보건복지부/2018/edit-insert-text-in-cell-005016.hwp	보건복지부	2018	hwp	0	4	8	6
w2_edit_insert_text_in_cell-005017	edit-insert-text-in-cell	coord	COORD_OOB	samples/wave2/국토교통부/2018/edit-insert-text-in-cell-005017.hwpx	국토교통부	2018	hwpx	10	4	9	6
w2_edit_insert_text_in_cell-005018	edit-insert-text-in-cell	coord	COORD_OOB	samples/wave2/고용노동부/2018/edit-insert-text-in-cell-005018.hwp	고용노동부	2018	hwp	10	8	10	7
w2_edit_insert_text_in_cell-005019	edit-insert-text-in-cell	coord	COORD_OK	samples/wave2/외교부/2018/edit-insert-text-in-cell-005019.hwpx	외교부	2018	hwpx	3	0	11	7
w2_edit_insert_text_in_cell-005020	edit-insert-text-in-cell	coord	COORD_OK	samples/wave2/기획재정부/2018/edit-insert-text-in-cell-005020.hwp	기획재정부	2018	hwp	0	1	2	8
w2_edit_insert_text_in_cell-005021	edit-insert-text-in-cell	coord	COORD_OK	samples/wave2/공정거래위원회/2018/edit-insert-text-in-cell-005021.hwpx	공정거래위원회	2018	hwpx	2	1	3	8
w2_edit_insert_text_in_cell-005022	edit-insert-text-in-cell	coord	COORD_OK	samples/wave2/금융위원회/2018/edit-insert-text-in-cell-005022.hwp	금융위원회	2018	hwp	2	0	4	9
w2_edit_insert_text_in_cell-005023	edit-insert-text-in-cell	coord	COORD_OK	samples/wave2/통계청/2018/edit-insert-text-in-cell-005023.hwpx	통계청	2018	hwpx	3	0	5	9
w2_edit_insert_text_in_cell-005024	edit-insert-text-in-cell	coord	COORD_OOB	samples/wave2/기상청/2018/edit-insert-text-in-cell-005024.hwp	기상청	2018	hwp	7	0	6	2
w2_edit_insert_text_in_cell-005025	edit-insert-text-in-cell	coord	COORD_OOB	samples/wave2/관세청/2018/edit-insert-text-in-cell-005025.hwpx	관세청	2018	hwpx	7	3	7	2
w2_edit_insert_text_in_cell-005026	edit-insert-text-in-cell	coord	COORD_OK	samples/wave2/검찰청/2018/edit-insert-text-in-cell-005026.hwp	검찰청	2018	hwp	2	1	8	3
w2_edit_insert_text_in_cell-005027	edit-insert-text-in-cell	coord	COORD_OK	samples/wave2/경찰청/2018/edit-insert-text-in-cell-005027.hwpx	경찰청	2018	hwpx	5	1	9	3
w2_edit_insert_text_in_cell-005028	edit-insert-text-in-cell	coord	COORD_OK	samples/wave2/소방청/2018/edit-insert-text-in-cell-005028.hwp	소방청	2018	hwp	8	0	10	4
w2_edit_insert_text_in_cell-005029	edit-insert-text-in-cell	coord	COORD_OK	samples/wave2/병무청/2018/edit-insert-text-in-cell-005029.hwpx	병무청	2018	hwpx	2	0	11	4
w2_edit_insert_text_in_cell-005030	edit-insert-text-in-cell	coord	COORD_OK	samples/wave2/산림청/2018/edit-insert-text-in-cell-005030.hwp	산림청	2018	hwp	0	1	2	5
w2_edit_insert_text_in_cell-005031	edit-insert-text-in-cell	coord	COORD_OOB	samples/wave2/중소벤처기업부/2018/edit-insert-text-in-cell-005031.hwpx	중소벤처기업부	2018	hwpx	4	2	3	5
